,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,"8,9","9,4","7,5","2,3","7,4","1,5","10,5"
,,,"7,99","10,3","0,4","9,7","8,9","6,5","1,3"
,,,"8,01","10,56","1,6","10,02","7,59","7,01","1,68"
,,,"9,06","6,25","7,09","2,3","4,5","1,33","8,45"
,,,"6,75","7,88","6,22","8,42","6,04","6,99","6,05"
,,,"6,99","7,56","6,78","3,01","7,85","3,14","4,25"
,,,"8,33","8,01","2,52","3,5","6,55","2,47","6,7"
,,,"5,95","7,73","3,5","5,8","6,45","3,2","2,4"
,,,"7,23","8,21","3,56","1,5","3,24","4,01","5,63"
,,,"8,68","9,04","4,56","4,36","8,25","2,32","6,78"
,,,"9,12","7,56","6,89","1,23","5,89","2,32","7,88"
,,,"7,56","6,12","6,52","4,56","6,01","1,25","6,12"
,,,"6,22","8,44","1,01","2,14","7,13","4,22","1,23"
,,,"8,14","7,06","2,1","6,55","4,12","0,88","2,26"
,,,"7,99","7,12","5,98","5,45","5,01","1,08","4,16"
,,,"6,04","6,42","3,01","5,02","3,01","6,89","3,01"
